exam code,description,duration,department code
C13572E1 ,CELL & MOLECULAR BIOLOGY OF THE NEURONE  ,01:30:00,LE
C13573E1 ,EVOLUTIONARY ECOLOGY                     ,03:00:00,LE
C1P001E1 ,TISSUE CULT:SEX & SOMATIC GENE FOR PL IM ,02:00:00,LE
C41101E1 ,INTRODUCTION TO HUMAN GENETICS I         ,02:00:00,GN
C42304E1 ,GENETIC ENINEERING & GENE ORG.II (L)     ,02:00:00,GN
C42306E1 ,BIOMETRY II                              ,02:00:00,GN
C42307E1 ,ECOLOGICAL GENETICS II                   ,02:00:00,GN
C43511E1 ,GENETICS AND EVOLUTION III               ,03:00:00,GN
C43512E1 ,GENE CONTROL III                         ,03:00:00,GN
C52303E1 ,MEDICAL MICROBIOLOGY                     ,02:00:00,MB
C71101E1 ,CELL STRUCTURE & METABOLISM (L)          ,02:00:00,LE
C72303E1 ,PROTEIN & GENE FUNCTION IIA              ,03:00:00,BC
C73507E1 ,ADVANCED BIOCHEMISTRY I                  ,03:00:00,BC
C81HAAE1 ,ARTIFICIAL INTELLIGENCE 1A               ,01:00:00,FG
C81HBAE1 ,BIOLOGICAL PSYCHOLOGY 1A                 ,01:00:00,FG
C81HCAE1 ,COGNITIVE PSYCHOLOGY 1A                  ,01:00:00,FG
C81HDAE1 ,DEVELOPMENTAL AND SOCIAL PSYCHOLOGY 1A   ,01:00:00,FG
C81IAAE1 ,INTRO TO ARTIFICIAL INTELLIGENCE 1A      ,01:00:00,PS
C81IBAE1 ,INTRO TO BIOLOGICAL PSYCHOLOGY 1A        ,01:00:00,PS
C81ICAE1 ,INTRO.TO COGNITIVE PSYCHOLOGY 1A         ,01:00:00,FG
C81IDAE1 ,INTRO TO DEVELOPMENTAL & SOCIAL PSYCH    ,01:00:00,FG
C81J1AE1 ,INTRO TO BIOLOGICAL & ART INTELL         ,01:00:00,PS
C81J1AE2 ,INTRO TO BIOLOGICAL & ART INTELL         ,01:00:00,PS
C81J2AE1 ,INTRO TO BIOLOGICAL & COGNITIVE PSYCH 1A ,01:00:00,PS
C81J2AE2 ,INTRO TO BIOLOGICAL & COGNITIVE PSYCH 1A ,01:00:00,PS
C81J3AE1 ,"INTRO TO BIOL, DEVEL & SOCIAL PSY 1A     ",01:00:00,PS
C81J3AE2 ,"INTRO TO BIOL, DEVEL & SOCIAL PSY 1A     ",01:00:00,PS
C81J4AE1 ,INTRO TO COGNITIVE PSYCHOLOGY & AI 1A    ,01:00:00,PS
C81J4AE2 ,INTRO TO COGNITIVE PSYCHOLOGY & AI 1A    ,01:00:00,PS
C81J5AE1 ,"INTRO TO COGNIT.,DEVEL.& SOC.PSYCH 1A    ",01:00:00,FG
C81J5AE2 ,"INTRO TO COGNIT.,DEVEL.& SOC.PSYCH 1A    ",01:00:00,FG
C81JIAE1 ,INTRO.TO BIOL.&ARTIFICIAL INTELL.1A      ,01:00:00,FG
C81JIAE2 ,INTRO.TO BIOL.&ARTIFICIAL INTELL.1A      ,01:00:00,FG
C81MJAE1 ,THEORY & STATS & LAB METHS FOR JOINT HON ,01:00:00,PS
C81MSAE1 ,STATISTICAL METHODS 1A                   ,01:00:00,PS
C82BCSE1 ,BIOLOGICAL PSYCH.FOR COGNITIVE SCI.      ,01:00:00,FG
C82BUAE1 ,BIOLOGICAL PSYCHOLOGY 2A                 ,02:00:00,FG
C82CUAE1 ,COGNITIVE PSYCHOLOGY 2A                  ,02:00:00,PS
C82DUAE1 ,HUMAN DEVELOPMENT 2A                     ,01:00:00,FG
C82HUAE1 ,PSYCHOLOGY OF MAINTAINING HEALTH         ,01:00:00,FG
C82MCPE1 ,CONVERSION PROGRAMME DESIGN & ANALYSIS   ,01:00:00,PS
C82MHAE1 ,PRACTICAL AND STATISTICAL METHODS 2A     ,02:00:00,FG
C82MJAE1 ,PRAC.& STAT. METHODS FOR JT.HONS.2A      ,02:00:00,FG
C82OUAE1 ,OCCUPATIONAL PSYCHOLOGY 2A               ,01:00:00,FG
C82SUAE1 ,SOCIAL PSYCHOLOGY 2A                     ,01:00:00,FG
C83XWHE1 ,THE PSYCHOLOGY OF WOMEN'S HEALTH         ,02:00:00,PS
C8COUAE1 ,OCCUPATIONAL PSYCHOLOGY 3A: SELEC & TRAI ,02:00:00,PS
C8CXCEE1 ,PEOPLE & COMPUTERS IN THE WORKPLACE      ,02:00:00,PS
C8CXCHE1 ,CHILD PSYCHOL 3A: DEV OF COMM            ,02:00:00,PS
C8CXDLE1 ,CATS & PROCESSED IN LANGUAGES ACQUISTION ,02:00:00,PS
C8CXESE1 ,EXPERT SYSTEMS                           ,02:00:00,PS
C8CXPAE1 ,UNDERSTANDING PATTENS OF ACTION          ,01:30:00,PS
C8P001E1 ,MSC OCC PSYH/ORGANISIG HEALTH TRAINING   ,03:00:00,PS
C8P002E1 ,MSC OCC PSYCH/ORGAN HEATH SELEC & ASSESS ,03:00:00,PS
