SID,exam code
B937444492,C82MHAE1
B937516799,C81HBAE1
B937516799,C81HCAE1
B937516799,C81HDAE1
B937516799,C81MSAE1
B937609356,C82BUAE1
B937609356,C82CUAE1
B937609356,C82MHAE1
B938059934,C82BUAE1
B938059934,C82CUAE1
B938059934,C82MHAE1
B938709291,C82BUAE1
B938709291,C82CUAE1
B938709291,C82MHAE1
B939834758,C82BUAE1
B939834758,C82CUAE1
B939834758,C82MHAE1
B940011164,C81IAAE1
B940011762,C81HBAE1
B940011762,C81HCAE1
B940011762,C81HDAE1
B940011762,C81MSAE1
B940011935,C81IAAE1
B940011935,C81IDAE1
B940012046,C81HBAE1
B940012046,C81HCAE1
B940012046,C81HDAE1
B940012046,C81MSAE1
B940012275,C81HBAE1
B940012275,C81HCAE1
B940012275,C81HDAE1
B940012275,C81MSAE1
B940012552,C81ICAE1
B940012747,C81HBAE1
B940012747,C81HCAE1
B940012747,C81HDAE1
B940012747,C81MSAE1
B940012987,C71101E1
B940013386,C81HBAE1
B940013386,C81HCAE1
B940013386,C81HDAE1
B940013386,C81MSAE1
B940013423,C81HBAE1
B940013423,C81HCAE1
B940013423,C81HDAE1
B940013423,C81MSAE1
B940013652,C81HBAE1
B940013652,C81HCAE1
B940013652,C81HDAE1
B940013652,C81MSAE1
B940013962,C81IBAE1
B940014051,C81HBAE1
B940014051,C81HCAE1
B940014051,C81HDAE1
B940014051,C81MSAE1
B940014109,C81ICAE1
B940014718,C81HBAE1
B940014718,C81HCAE1
B940014718,C81HDAE1
B940014718,C81MSAE1
B940015151,C81IDAE1
B940015173,C81HBAE1
B940015173,C81HCAE1
B940015173,C81HDAE1
B940015173,C81MSAE1
B940015416,C81HBAE1
B940015416,C81HCAE1
B940015416,C81HDAE1
B940015416,C81IAAE1
B940015416,C81MSAE1
B940015427,C81HBAE1
B940015472,C81ICAE1
B940015483,C81IDAE1
B940015494,C81IBAE1
B940015704,C81HBAE1
B940015704,C81HCAE1
B940015704,C81HDAE1
B940015704,C81MSAE1
B940015966,C81J5AE1
B940015966,C81J5AE2
B940016664,C81HAAE1
B940016848,C81HBAE1
B940016848,C81HCAE1
B940016848,C81HDAE1
B940016848,C81MSAE1
B940016859,C81HBAE1
B940016859,C81HCAE1
B940016859,C81HDAE1
B940016859,C81IAAE1
B940016859,C81MSAE1
B940017292,C81IDAE1
B940017328,C81IDAE1
B940017498,C81IAAE1
B940017579,C81J5AE1
B940017579,C81J5AE2
B940017937,C81ICAE1
B940018093,C81HBAE1
B940018093,C81HCAE1
B940018093,C81HDAE1
B940018093,C81MSAE1
B940018624,C81J3AE1
B940018624,C81J3AE2
B940018679,C81HBAE1
B940018679,C81HCAE1
B940018679,C81HDAE1
B940018679,C81MSAE1
B940018912,C81IDAE1
B940018934,C81HCAE1
B940019300,C81ICAE1
B940019595,C81IAAE1
B940019643,C81J5AE1
B940019643,C81J5AE2
B940020351,C81ICAE1
B940020580,C81IDAE1
B940020834,C81HBAE1
B940020834,C81HCAE1
B940020834,C81HDAE1
B940020834,C81MSAE1
B940020856,C81HBAE1
B940020856,C81HCAE1
B940020856,C81HDAE1
B940020856,C81MSAE1
B940020937,C81HCAE1
B940021152,C81ICAE1
B940021624,C81HBAE1
B940021624,C81HCAE1
B940021624,C81HDAE1
B940021624,C81MSAE1
B940022207,C81ICAE1
B940022861,C81HBAE1
B940022861,C81HCAE1
B940022861,C81HDAE1
B940022861,C81IAAE1
B940022861,C81MSAE1
B940023101,C81ICAE1
B940023891,C81HBAE1
B940023891,C81HCAE1
B940023891,C81HDAE1
B940023891,C81MSAE1
B940024393,C81HBAE1
B940024393,C81HCAE1
B940024393,C81HDAE1
B940024393,C81MSAE1
B940025840,C81HBAE1
B940025840,C81HCAE1
B940025840,C81HDAE1
B940025840,C81MSAE1
B940025921,C81HAAE1
B940025921,C81HBAE1
B940025921,C81HCAE1
B940025921,C81HDAE1
B940025921,C81MSAE1
B940026010,C81HBAE1
B940026010,C81HCAE1
B940026010,C81HDAE1
B940026010,C81MSAE1
B940026593,C81ICAE1
B940026593,C81IDAE1
B940027305,C81J4AE1
B940027305,C81J4AE2
B940027338,C81HBAE1
B940027338,C81HCAE1
B940027338,C81HDAE1
B940027338,C81MSAE1
B940027567,C81IDAE1
B940028139,C81HBAE1
B940028139,C81HCAE1
B940028139,C81HDAE1
B940028139,C81MSAE1
B940028508,C81IDAE1
B940028531,C81HBAE1
B940028531,C81HCAE1
B940028531,C81HDAE1
B940028531,C81IAAE1
B940028531,C81MSAE1
B940028667,C81ICAE1
B940029594,C81IDAE1
B940030084,C81ICAE1
B940030408,C81IDAE1
B940031058,C81HBAE1
B940031058,C81HCAE1
B940031058,C81HDAE1
B940031058,C81IAAE1
B940031058,C81MSAE1
B940031944,C81HBAE1
B940031944,C81HCAE1
B940031944,C81HDAE1
B940031944,C81MSAE1
B940032136,C81HBAE1
B940032136,C81HCAE1
B940032136,C81HDAE1
B940032136,C81MSAE1
B940032505,C81IAAE1
B940033476,C81HBAE1
B940033476,C81HCAE1
B940033476,C81HDAE1
B940033476,C81MSAE1
B940033627,C81HBAE1
B940033627,C81HCAE1
B940033627,C81HDAE1
B940033627,C81MSAE1
B940033801,C81HBAE1
B940033801,C81HCAE1
B940033801,C81HDAE1
B940033801,C81IAAE1
B940033801,C81MSAE1
B940033993,C81HBAE1
B940033993,C81HCAE1
B940033993,C81HDAE1
B940033993,C81MSAE1
B940034303,C81HBAE1
B940034303,C81HCAE1
B940034303,C81HDAE1
B940034303,C81MSAE1
B940034439,C81HBAE1
B940034439,C81HCAE1
B940034439,C81HDAE1
B940034439,C81MSAE1
B940034598,C81IDAE1
B940034738,C81J5AE1
B940034738,C81J5AE2
B940034820,C81ICAE1
B940034820,C81J3AE1
B940034820,C81J3AE2
B940035562,C81HBAE1
B940035562,C81HCAE1
B940035562,C81HDAE1
B940035562,C81MSAE1
B940035632,C81HBAE1
B940035632,C81HCAE1
B940035632,C81HDAE1
B940035632,C81MSAE1
B940035654,C81HBAE1
B940035654,C81HCAE1
B940035654,C81HDAE1
B940035654,C81MSAE1
B940036190,C81HBAE1
B940036190,C81HCAE1
B940036190,C81HDAE1
B940036190,C81IAAE1
B940036190,C81MSAE1
B940036411,C81IDAE1
B940036411,C81J2AE1
B940036411,C81J2AE2
B940036455,C81ICAE1
B940036846,C81HBAE1
B940036846,C81HCAE1
B940036846,C81HDAE1
B940036846,C81MSAE1
B940037027,C81HBAE1
B940037027,C81HCAE1
B940037027,C81HDAE1
B940037027,C81IAAE1
B940037027,C81MSAE1
B940037050,C81J4AE1
B940037050,C81J4AE2
B940037290,C81HBAE1
B940037290,C81HCAE1
B940037290,C81HDAE1
B940037290,C81MSAE1
B940037500,B11102E1
B940037500,C81HBAE1
B940037500,C81HCAE1
B940037500,C81HDAE1
B940037500,C81MSAE1
B940037533,C81HBAE1
B940037533,C81HCAE1
B940037533,C81HDAE1
B940037533,C81MSAE1
B940037795,C81ICAE1
B940037902,C81HBAE1
B940037902,C81HCAE1
B940037902,C81HDAE1
B940037902,C81MSAE1
B940038323,C81HBAE1
B940038323,C81HCAE1
B940038323,C81HDAE1
B940038323,C81MSAE1
B940038633,C81HBAE1
B940038633,C81HCAE1
B940038633,C81HDAE1
B940038633,C81MSAE1
B940038699,C81J5AE1
B940038699,C81J5AE2
B940038895,C81HCAE1
B940039032,C81HBAE1
B940039032,C81HCAE1
B940039032,C81HDAE1
B940039032,C81IAAE1
B940039032,C81MSAE1
B940042663,C81IDAE1
B940042696,C81HDAE1
B940042962,C82HUAE1
B940042973,C8CXPAE1
B940043039,C81IAAE1
B940045114,C82BUAE1
B940045114,C82CUAE1
B940045114,C82MHAE1
B940045147,C82BUAE1
B940045147,C82CUAE1
B940045147,C82MHAE1
B940045217,C81HDAE1
B940046281,C81IDAE1
B940046373,C81IDAE1
B940046502,C81HCAE1
B940046579,C81IAAE1
B940047071,C81IBAE1
B940047266,C81HBAE1
B940047266,C81HCAE1
B940047266,C81HDAE1
B940047266,C81MSAE1
B940047358,C81IDAE1
B940047381,C81IBAE1
B940047381,C81ICAE1
B940047392,C81IAAE1
B940047392,C81IBAE1
B940047392,C82BUAE1
B940047657,C82CUAE1
B940048425,C81ICAE1
B940048425,C82CUAE1
B940050428,C82BUAE1
B940050428,C82CUAE1
B940050428,C82DUAE1
B940050428,C82HUAE1
B940050428,C82MCPE1
B940050428,C82MHAE1
B940050428,C82SUAE1
B940050440,C82BUAE1
B940050440,C82CUAE1
B940050440,C82DUAE1
B940050440,C82HUAE1
B940050440,C82MCPE1
B940050440,C82MHAE1
B940050440,C82SUAE1
B940050440,C8COUAE1
B940050451,C82BUAE1
B940050451,C82CUAE1
B940050451,C82DUAE1
B940050451,C82HUAE1
B940050451,C82MCPE1
B940050451,C82MHAE1
B940050451,C82SUAE1
B940050462,C82BUAE1
B940050462,C82CUAE1
B940050462,C82DUAE1
B940050462,C82HUAE1
B940050462,C82MCPE1
B940050462,C82MHAE1
B940050462,C82SUAE1
B940051218,C81HBAE1
B940051218,C81HCAE1
B940051218,C81HDAE1
B940051218,C81MSAE1
B940051229,C81HBAE1
B940051229,C81HCAE1
B940051229,C81HDAE1
B940051229,C81MSAE1
B940052259,C82BUAE1
B940052259,C82CUAE1
B940052259,C82DUAE1
B940052259,C82HUAE1
B940052259,C82MCPE1
B940052259,C82MHAE1
B940052259,C82SUAE1
B940055434,C82BUAE1
B940055434,C82CUAE1
B940055434,C82DUAE1
B940055434,C82HUAE1
B940055434,C82MCPE1
B940055434,C82MHAE1
B940055434,C82SUAE1
B940055467,C82BUAE1
B940055467,C82CUAE1
B940055467,C82DUAE1
B940055467,C82HUAE1
B940055467,C82MCPE1
B940055467,C82MHAE1
B940055467,C82SUAE1
B940055478,C82BUAE1
B940055478,C82CUAE1
B940055478,C82HUAE1
B940055478,C82MCPE1
B940055478,C82MHAE1
B940055478,C82SUAE1
B940055490,C82BUAE1
B940055490,C82CUAE1
B940055490,C82DUAE1
B940055490,C82HUAE1
B940055490,C82MCPE1
B940055490,C82MHAE1
B940055490,C82SUAE1
D903119380,C8COUAE1
D903119380,C8CXCEE1
D916005366,B33541E1
D916005366,B33544E1
D916005366,B33545E1
D916005366,B33548E1
D916005366,B33549E1
D916005366,B33563E1
D916076768,C8COUAE1
D916076768,C8CXCEE1
D916076768,C8CXESE1
D916107453,C81IBAE1
D916164009,B13103E1
D916164009,C13571E1
D916164009,C13572E1
D916222882,C13563E1
D916222882,C73507E1
D916234704,B13103E1
D916234704,C13571E1
D916234704,C13572E1
D916475020,C73507E1
D916483667,B13103E1
D916483667,C13571E1
D916490609,C13565E1
D916502005,C12321E1
D916502005,C12338E1
D916502005,C42306E1
D916502005,C42307E1
D916624868,C81ICAE1
D916765161,C13573E1
D916765161,C43511E1
D916888840,B13103E1
D916888840,C13571E1
D916888840,C13572E1
D917056682,C8CXCEE1
D917056682,C8CXESE1
D917185535,B13103E1
D917185535,C13571E1
D917185535,C13572E1
D917186831,B13103E1
D917186831,C13571E1
D917186831,C13572E1
D917236941,C8CXCEE1
D917236941,C8CXESE1
D917370094,B13103E1
D917370094,C13571E1
D917370094,C13572E1
D917523058,C13562E1
D917523058,C13563E1
D920028803,C8COUAE1
D920030208,B33541E1
D920030208,B33544E1
D920030208,B33545E1
D920030208,B33548E1
D920030208,B33549E1
D920036864,C43512E1
D920036864,C73507E1
D920043024,B33541E1
D920043024,B33544E1
D920043024,B33545E1
D920043024,B33548E1
D920043024,B33549E1
D920043024,B33563E1
D920052314,C73507E1
D920053034,C43511E1
D920053034,C43512E1
D920055522,C13562E1
D920055522,C13564E1
D920057892,C13564E1
D920057892,C13567E1
D920064029,B33541E1
D920064029,B33544E1
D920064029,B33545E1
D920064029,B33548E1
D920064029,B33549E1
D920069769,B33541E1
D920069769,B33544E1
D920069769,B33545E1
D920069769,B33548E1
D920069769,B33549E1
D920084946,C13564E1
D920084946,C81IBAE1
D920086283,C13564E1
D920086283,C43511E1
D920089284,C13563E1
D920089284,C13564E1
D920090017,C82BUAE1
D920090017,C82CUAE1
D920090017,C82MHAE1
D920093661,C13565E1
D920093661,C13573E1
D920098127,B33541E1
D920098127,B33544E1
D920098127,B33545E1
D920098127,B33548E1
D920098127,B33549E1
D920104233,B33541E1
D920104233,B33544E1
D920104233,B33545E1
D920104233,B33548E1
D920104233,B33549E1
D920104233,B33563E1
D920104266,C73507E1
D920115136,B33541E1
D920115136,B33544E1
D920115136,B33545E1
D920115136,B33548E1
D920115136,B33549E1
D920119064,C82BUAE1
D920119064,C82CUAE1
D920119064,C82MHAE1
D920125353,B33541E1
D920125353,B33544E1
D920125353,B33545E1
D920125353,B33548E1
D920125353,B33549E1
D920128653,C43512E1
D920128653,C73507E1
D920129317,C73507E1
D920133141,B33541E1
D920133141,B33544E1
D920133141,B33545E1
D920133141,B33548E1
D920133141,B33549E1
D920140655,C8COUAE1
D920141869,C73507E1
D920144848,C13562E1
D920144848,C43511E1
D920146392,C13565E1
D920151248,B33541E1
D920151248,B33544E1
D920151248,B33545E1
D920151248,B33548E1
D920151248,B33549E1
D920151248,B33563E1
D920153840,C13565E1
D920153840,C8COUAE1
D920154892,C13564E1
D920154892,C13573E1
D920156874,C8CXDLE1
D920158867,C13563E1
D920158867,C73507E1
D920159303,C13564E1
D920159303,C13573E1
D920159473,C13567E1
D920159473,C43511E1
D920159750,C73507E1
D920170744,B33541E1
D920170744,B33544E1
D920170744,B33545E1
D920170744,B33548E1
D920170744,B33549E1
D920170744,B33563E1
D920173734,C13573E1
D920173734,C43511E1
D920176230,C73507E1
D920176920,B33541E1
D920176920,B33544E1
D920176920,B33545E1
D920176920,B33548E1
D920176920,B33549E1
D920178809,B33541E1
D920178809,B33544E1
D920178809,B33545E1
D920178809,B33548E1
D920178809,B33549E1
D920180732,C13564E1
D920187155,C13569E1
D920187214,C13567E1
D920187214,C13569E1
D920189517,C13562E1
D920189517,C13564E1
D920193053,C81IAAE1
D920193503,B33541E1
D920193503,B33544E1
D920193503,B33545E1
D920193503,B33548E1
D920193503,B33549E1
D920197693,B33541E1
D920197693,B33544E1
D920197693,B33545E1
D920197693,B33548E1
D920197693,B33549E1
D920203684,C8COUAE1
D920203684,C8CXCEE1
D920203684,C8CXPAE1
D920211586,C13565E1
D920213454,B33541E1
D920213454,B33544E1
D920213454,B33545E1
D920213454,B33548E1
D920213454,B33549E1
D920213454,B33563E1
D920219607,C43512E1
D920219607,C73507E1
D920223774,C13562E1
D920223774,C43511E1
D920224818,B33541E1
D920224818,B33544E1
D920224818,B33545E1
D920224818,B33548E1
D920224818,B33549E1
D920236567,C13565E1
D920236567,C13573E1
D920259256,C43511E1
D920259256,C43512E1
D920259337,C13564E1
D920259337,C13569E1
D920262669,B33541E1
D920262669,B33544E1
D920262669,B33545E1
D920262669,B33548E1
D920262669,B33549E1
D920266689,C83XWHE1
D920270561,C13562E1
D920270561,C43511E1
D920273643,C13567E1
D920273643,C13569E1
D920274307,C8COUAE1
D920274307,C8CXCEE1
D920274307,C8CXPAE1
D920279601,B33541E1
D920279601,B33544E1
D920279601,B33545E1
D920279601,B33548E1
D920279601,B33549E1
D920279601,B33563E1
D920280571,C13567E1
D920280571,C13569E1
D920284568,B33541E1
D920284568,B33544E1
D920284568,B33545E1
D920284568,B33548E1
D920284568,B33549E1
D920284683,C73507E1
D920285820,B33541E1
D920285820,B33544E1
D920285820,B33545E1
D920285820,B33548E1
D920285820,B33549E1
D920286171,C12332E1
D920286171,C12333E1
D920286171,C42304E1
D920287684,B33541E1
D920287684,B33544E1
D920287684,B33545E1
D920287684,B33548E1
D920287684,B33549E1
D920287684,B33563E1
D920289253,B33541E1
D920289253,B33544E1
D920289253,B33545E1
D920289253,B33548E1
D920289253,B33549E1
D920289895,C73507E1
D920291452,C73507E1
D920292895,C13562E1
D920292895,C43511E1
D920298956,B33541E1
D920298956,B33544E1
D920298956,B33545E1
D920298956,B33548E1
D920298956,B33549E1
D920304017,C73507E1
D920311978,C73507E1
D920319169,C13569E1
D920320176,C12324E1
D920320176,C12328E1
D920320176,C81HBAE1
D920327511,B33541E1
D920327511,B33544E1
D920327511,B33545E1
D920327511,B33548E1
D920327511,B33549E1
D920341207,C13573E1
D920341207,C8CXCHE1
D920350553,C43511E1
D920350553,C43512E1
D920351941,C8COUAE1
D920351941,C8CXCEE1
D920351941,C8CXDLE1
D920352292,C43512E1
D920352292,C73507E1
D920358157,B33541E1
D920358157,B33544E1
D920358157,B33545E1
D920358157,B33548E1
D920358157,B33549E1
D920358168,B33541E1
D920358168,B33544E1
D920358168,B33545E1
D920358168,B33548E1
D920358168,B33549E1
D920358777,C73507E1
D920365694,C81IAAE1
D920365694,C81ICAE1
D920369201,B33541E1
D920369201,B33544E1
D920369201,B33545E1
D920369201,B33548E1
D920369201,B33549E1
D920371374,B33541E1
D920371374,B33544E1
D920371374,B33545E1
D920371374,B33548E1
D920371374,B33549E1
D920377893,C13573E1
D920380767,B33541E1
D920380767,B33544E1
D920380767,B33545E1
D920380767,B33548E1
D920380767,B33549E1
D920398902,C13562E1
D920398902,C13573E1
D920407673,B33541E1
D920407673,B33544E1
D920407673,B33545E1
D920407673,B33548E1
D920407673,B33549E1
D920409471,B33541E1
D920409471,B33544E1
D920409471,B33545E1
D920409471,B33548E1
D920409471,B33549E1
D920428531,C73507E1
D920428782,B33541E1
D920428782,B33544E1
D920428782,B33545E1
D920428782,B33548E1
D920428782,B33549E1
D920428782,B33563E1
D920435713,C13564E1
D920435713,C13573E1
D920439803,C13573E1
D920439803,C8COUAE1
D920439803,C8CXCHE1
D920445114,B33541E1
D920445114,B33544E1
D920445114,B33545E1
D920445114,B33548E1
D920445114,B33549E1
D920455250,C73507E1
D920455467,B33541E1
D920455467,B33544E1
D920455467,B33545E1
D920455467,B33548E1
D920455467,B33549E1
D920475557,B33541E1
D920475557,B33544E1
D920475557,B33545E1
D920475557,B33548E1
D920475557,B33549E1
D920476303,C13562E1
D920476303,C13564E1
D920483091,B33541E1
D920483091,B33544E1
D920483091,B33545E1
D920483091,B33548E1
D920483091,B33549E1
D920488616,C73507E1
D920489347,C13562E1
D920510076,B33541E1
D920510076,B33544E1
D920510076,B33545E1
D920510076,B33548E1
D920510076,B33549E1
D920527454,C81ICAE1
D920537637,C12327E1
D920537637,C12331E1
D920537637,C12338E1
D920537637,C42306E1
D920537637,C42307E1
D920545263,C13564E1
D920545263,C43511E1
D920556177,B33541E1
D920556177,B33544E1
D920556177,B33545E1
D920556177,B33548E1
D920556177,B33549E1
D920558492,B33541E1
D920558492,B33544E1
D920558492,B33545E1
D920558492,B33548E1
D920558492,B33549E1
D920558492,B33563E1
D920560495,C43511E1
D920560495,C43512E1
D920561078,B33541E1
D920561078,B33544E1
D920561078,B33545E1
D920561078,B33548E1
D920561078,B33549E1
D920563186,B33541E1
D920563186,B33544E1
D920563186,B33545E1
D920563186,B33548E1
D920563186,B33549E1
D920563186,B33563E1
D920579903,C13567E1
D920579903,C13569E1
D920586680,C8CXCHE1
D920587159,B33541E1
D920587159,B33544E1
D920587159,B33545E1
D920587159,B33548E1
D920587159,B33549E1
D920587643,B33541E1
D920587643,B33544E1
D920587643,B33545E1
D920587643,B33548E1
D920587643,B33549E1
D920588064,B33541E1
D920588064,B33544E1
D920588064,B33545E1
D920588064,B33548E1
D920588064,B33549E1
D920588983,B33541E1
D920588983,B33544E1
D920588983,B33545E1
D920588983,B33548E1
D920588983,B33549E1
D920590492,B33541E1
D920590492,B33544E1
D920590492,B33545E1
D920590492,B33548E1
D920590492,B33549E1
D920591824,B33541E1
D920591824,B33544E1
D920591824,B33545E1
D920591824,B33548E1
D920591824,B33549E1
D920591824,B33563E1
D920594630,C13564E1
D920600894,C73507E1
D920617331,B33541E1
D920617331,B33544E1
D920617331,B33545E1
D920617331,B33548E1
D920617331,B33549E1
D920617331,B33563E1
D920623033,C13562E1
D920623033,C43511E1
D920630156,C13562E1
D920630156,C13573E1
D920640890,B33541E1
D920640890,B33544E1
D920640890,B33545E1
D920640890,B33548E1
D920640890,B33549E1
D920643994,B33541E1
D920643994,B33544E1
D920643994,B33545E1
D920643994,B33548E1
D920643994,B33549E1
D920643994,B33563E1
D920646124,B33541E1
D920646124,B33544E1
D920646124,B33545E1
D920646124,B33548E1
D920646124,B33549E1
D920657120,C13567E1
D920677427,C73507E1
D920689844,C73507E1
D920703092,B33541E1
D920703092,B33544E1
D920703092,B33545E1
D920703092,B33548E1
D920703092,B33549E1
D920713541,C82BUAE1
D920713541,C82CUAE1
D920713541,C82MHAE1
D920724396,C13564E1
D920724396,C13565E1
